match_no,stage,group_or_round,match_label,team1,team2,pdf_filename,pdf_url,local_pdf_path,match_end_minute_est,players_parsed
87,Knockout stage,Round of 32,COL Colombia 1 - 0 Ghana GHA,Colombia,Ghana,PMSR-M87-COL-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M87-COL-V-GHA.pdf,D:\fifa_2026_match_report_pdfs\M87 - COL Colombia 1 - 0 Ghana GHA.pdf,90,52
88,Knockout stage,Round of 32,AUS Australia (2) 1 - 1 (4) Egypt EGY,Australia,(4) Egypt,PMSR-M88-AUS-V-EGY.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M88-AUS-V-EGY.pdf,D:\fifa_2026_match_report_pdfs\M88 - AUS Australia (2) 1 - 1 (4) Egypt EGY.pdf,120,51
89,Knockout stage,Round of 16,M89 - PAR V FRA,Paraguay,France,M89 - PAR V FRA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M89-PAR-V-FRA.pdf,D:\fifa_2026_match_report_pdfs\M89 - PAR V FRA.pdf,97,52
90,Knockout stage,Round of 16,M90 - CAN V MAR,Canada,Morocco,M90 - CAN V MAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M90-CAN-V-MAR.pdf,D:\fifa_2026_match_report_pdfs\M90 - CAN V MAR.pdf,90,52
91,Knockout stage,Round of 16,M91 - BRA V NOR,Brazil,Norway,M91 - BRA V NOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M91-BRA-V-NOR.pdf,D:\fifa_2026_match_report_pdfs\M91 - BRA V NOR.pdf,96,52
92,Knockout stage,Round of 16,M92 - MEX V ENG,Mexico,England,M92 - MEX V ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M92-MEX-V-ENG.pdf,D:\fifa_2026_match_report_pdfs\M92 - MEX V ENG.pdf,98,52
93,Knockout stage,Round of 16,M93 - POR V ESP,Portugal,Spain,M93 - POR V ESP.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M93-POR-V-ESP.pdf,D:\fifa_2026_match_report_pdfs\M93 - POR V ESP.pdf,98,52
94,Knockout stage,Round of 16,M94 - USA V BEL,USA,Belgium,M94 - USA V BEL.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M94-USA-V-BEL.pdf,D:\fifa_2026_match_report_pdfs\M94 - USA V BEL.pdf,90,52
95,Knockout stage,Round of 16,M95 - ARG V EGY,Argentina,Egypt,M95 - ARG V EGY.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M95-ARG-V-EGY.pdf,D:\fifa_2026_match_report_pdfs\M95 - ARG V EGY.pdf,102,52
96,Knockout stage,Round of 16,M96 - SUI V COL,Switzerland,Colombia,M96 - SUI V COL.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M96-SUI-V-COL.pdf,D:\fifa_2026_match_report_pdfs\M96 - SUI V COL.pdf,119,52
97,Knockout stage,Quarterfinal,M97 - FRA V MAR,France,Morocco,M97 - FRA V MAR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M97-FRA-V-MAR.pdf,D:\fifa_2026_match_report_pdfs\M97 - FRA V MAR.pdf,90,52
98,Knockout stage,Quarterfinal,M98 - ESP V BEL ALT,Spain,Belgium,M98 - ESP V BEL ALT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M98-ESP-V-BEL-ALT.pdf,D:\fifa_2026_match_report_pdfs\M98 - ESP V BEL ALT.pdf,95,52
