match_no,stage,group_or_round,match_label,team1,team2,pdf_filename,pdf_url,local_pdf_path,match_end_minute_est,players_parsed
47,Group stage,Group K,POR Portugal 5 - 0 Uzbekistan UZB,Portugal,Uzbekistan,PMSR-M47-POR-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M47-POR-V-GHA.pdf,D:\fifa_2026_match_report_pdfs\M47 - POR Portugal 5 - 0 Uzbekistan UZB.pdf,90,52
48,Group stage,Group K,COL Colombia 1 - 0 Congo DR COD,Colombia,Congo DR,PMSR-M48-COL-V-COD-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M48-COL-V-COD-V2.pdf,D:\fifa_2026_match_report_pdfs\M48 - COL Colombia 1 - 0 Congo DR COD.pdf,94,52
49,Group stage,Group C,SCO Scotland 0 - 3 Brazil BRA,Scotland,Brazil,PMSR-M49-SCO-V-BRA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M49-SCO-V-BRA.pdf,D:\fifa_2026_match_report_pdfs\M49 - SCO Scotland 0 - 3 Brazil BRA.pdf,90,52
50,Group stage,Group C,MAR Morocco 4 - 2 Haiti HAI,Morocco,Haiti,PMSR-M50-MAR-V-HAI-V2.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M50-MAR-V-HAI-V2.pdf,D:\fifa_2026_match_report_pdfs\M50 - MAR Morocco 4 - 2 Haiti HAI.pdf,93,52
51,Group stage,Group B,SUI Switzerland 2 - 1 Canada CAN,Switzerland,Canada,PMSR-M51-SUI-V-CAN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M51-SUI-V-CAN.pdf,D:\fifa_2026_match_report_pdfs\M51 - SUI Switzerland 2 - 1 Canada CAN.pdf,90,52
52,Group stage,Group B,BIH Bosnia and Herzegovina 3 - 1 Qatar QAT,Bosnia and Herzegovina,Qatar,PMSR-M52-BIH-V-QAT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M52-BIH-V-QAT.pdf,D:\fifa_2026_match_report_pdfs\M52 - BIH Bosnia and Herzegovina 3 - 1 Qatar QAT.pdf,90,49
53,Group stage,Group A,CZE Czechia 0 - 3 Mexico MEX,Czechia,Mexico,PMSR-M53-CZE-V-MEX.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M53-CZE-V-MEX.pdf,D:\fifa_2026_match_report_pdfs\M53 - CZE Czechia 0 - 3 Mexico MEX.pdf,90,52
54,Group stage,Group A,RSA South Africa 1 - 0 Korea Republic KOR,South Africa,Korea Republic,PMSR-M54-RSA-V-KOR.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M54-RSA-V-KOR.pdf,D:\fifa_2026_match_report_pdfs\M54 - RSA South Africa 1 - 0 Korea Republic KOR.pdf,90,50
55,Group stage,Group E,CUW Curaçao 0 - 2 Côte d'Ivoire CIV,Curaçao,Côte d'Ivoire,PMSR-M55-CUW-V-CIV.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M55-CUW-V-CIV.pdf,D:\fifa_2026_match_report_pdfs\M55 - CUW Curaao 0 - 2 Cte dIvoire CIV.pdf,90,52
56,Group stage,Group E,ECU Ecuador 2 - 1 Germany GER,Ecuador,Germany,PMSR-M56-ECU-V-GER.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M56-ECU-V-GER.pdf,D:\fifa_2026_match_report_pdfs\M56 - ECU Ecuador 2 - 1 Germany GER.pdf,90,52
57,Group stage,Group F,JPN Japan 1 - 1 Sweden SWE,Japan,Sweden,PMSR-M57-JPN-V-SWE.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M57-JPN-V-SWE.pdf,D:\fifa_2026_match_report_pdfs\M57 - JPN Japan 1 - 1 Sweden SWE.pdf,90,52
58,Group stage,Group F,TUN Tunisia 1 - 3 Netherlands NED,Tunisia,Netherlands,PMSR-M58-TUN-V-NED.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M58-TUN-V-NED.pdf,D:\fifa_2026_match_report_pdfs\M58 - TUN Tunisia 1 - 3 Netherlands NED.pdf,90,52
59,Group stage,Group D,TUR Türkiye 3 - 2 USA USA,Türkiye,USA,PMSR-M59-TUR-v-USA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M59-TUR-v-USA.pdf,D:\fifa_2026_match_report_pdfs\M59 - TUR Trkiye 3 - 2 USA USA.pdf,90,52
60,Group stage,Group D,PAR Paraguay 0 - 0 Australia AUS,Paraguay,Australia,PMSR-M60-PAR-V-AUS.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M60-PAR-V-AUS.pdf,D:\fifa_2026_match_report_pdfs\M60 - PAR Paraguay 0 - 0 Australia AUS.pdf,90,51
61,Group stage,Group I,NOR Norway 1 - 4 France FRA,Norway,France,PMSR-M61-NOR-V-FRA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M61-NOR-V-FRA.pdf,D:\fifa_2026_match_report_pdfs\M61 - NOR Norway 1 - 4 France FRA.pdf,90,52
62,Group stage,Group I,SEN Senegal 5 - 0 Iraq IRQ,Senegal,Iraq,PMSR-M62-SEN-V-IRQ.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M62-SEN-V-IRQ.pdf,D:\fifa_2026_match_report_pdfs\M62 - SEN Senegal 5 - 0 Iraq IRQ.pdf,90,52
63,Group stage,Group G,EGY Egypt 1 - 1 IR Iran IRN,Egypt,IR Iran,PMSR-M63-EGY-V-IRN.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M63-EGY-V-IRN.pdf,D:\fifa_2026_match_report_pdfs\M63 - EGY Egypt 1 - 1 IR Iran IRN.pdf,94,52
64,Group stage,Group G,NZL New Zealand 1 - 5 Belgium BEL,New Zealand,Belgium,PMSR-M64-NZL-V-BEL.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M64-NZL-V-BEL.pdf,D:\fifa_2026_match_report_pdfs\M64 - NZL New Zealand 1 - 5 Belgium BEL.pdf,90,51
65,Group stage,Group H,CPV Cabo Verde 0 - 0 Saudi Arabia KSA,Cabo Verde,Saudi Arabia,PMSR-M65-CPV-V-KSA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M65-CPV-V-KSA.pdf,D:\fifa_2026_match_report_pdfs\M65 - CPV Cabo Verde 0 - 0 Saudi Arabia KSA.pdf,93,51
66,Group stage,Group H,URU Uruguay 0 - 1 Spain ESP,Uruguay,Spain,PMSR-M66-URU-V-ESP.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M66-URU-V-ESP.pdf,D:\fifa_2026_match_report_pdfs\M66 - URU Uruguay 0 - 1 Spain ESP.pdf,94,52
67,Group stage,Group L,PAN Panama 0 - 2 England ENG,Panama,England,PMSR-M67-PAN-V-ENG.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M67-PAN-V-ENG.pdf,D:\fifa_2026_match_report_pdfs\M67 - PAN Panama 0 - 2 England ENG.pdf,90,52
68,Group stage,Group L,CRO Croatia 2 - 1 Ghana GHA,Croatia,Ghana,PMSR-M68-CRO-V-GHA.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M68-CRO-V-GHA.pdf,D:\fifa_2026_match_report_pdfs\M68 - CRO Croatia 2 - 1 Ghana GHA.pdf,94,52
69,Group stage,Group J,ALG Algeria 3 - 3 Austria AUT,Algeria,Austria,PMSR-M69-ALG-V-AUT.pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M69-ALG-V-AUT.pdf,D:\fifa_2026_match_report_pdfs\M69 - ALG Algeria 3 - 3 Austria AUT.pdf,90,52
