match_no,team,gk_total_involvements,gk_line_breaks,gk_distribution_page_no,gk_distribution_values_json,gk_attempts_on_goal_faced,gk_save_pct,gk_attempts_faced_table,gk_total_goal_interventions,gk_save_retain,gk_deflect_retain,gk_save_deflect,gk_save_attempt,gk_no_save_attempt,gk_goal_prevention_page_no
20,Jordan,42.0,14.0,33,"[""14"", ""25"", ""1"", ""1""]",11.0,33.0,11.0,1.0,0.0,0.0,1.0,1.0,9.0,35
21,Ghana,44.0,12.0,32,"[""12"", ""18"", ""3"", ""4""]",11.0,100.0,11.0,4.0,3.0,0.0,1.0,2.0,5.0,34
21,Panama,43.0,6.0,33,"[""6"", ""30"", ""0"", ""3""]",7.0,50.0,7.0,0.0,0.0,1.0,0.0,1.0,5.0,35
22,England,76.0,19.0,33,"[""19"", ""55"", ""1"", ""6""]",10.0,60.0,10.0,4.0,1.0,0.0,3.0,2.0,4.0,35
22,Croatia,66.0,19.0,34,"[""19"", ""35"", ""0"", ""4""]",22.0,64.0,22.0,8.0,0.0,0.0,8.0,4.0,10.0,36
23,Portugal,44.0,9.0,32,"[""9"", ""29"", ""0"", ""5""]",8.0,50.0,8.0,1.0,1.0,0.0,0.0,2.0,5.0,34
23,Congo DR,44.0,16.0,33,"[""16"", ""23"", ""2"", ""5""]",8.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,6.0,35
24,Uzbekistan,50.0,12.0,32,"[""12"", ""22"", ""1"", ""6""]",15.0,25.0,15.0,3.0,1.0,0.0,2.0,3.0,9.0,34
24,Colombia,50.0,14.0,33,"[""14"", ""38"", ""0"", ""2""]",8.0,50.0,8.0,1.0,0.0,0.0,1.0,2.0,5.0,35
25,Czechia,46.0,11.0,32,"[""11"", ""24"", ""0"", ""3""]",17.0,75.0,17.0,3.0,3.0,0.0,0.0,1.0,13.0,34
25,South Africa,81.0,23.0,33,"[""23"", ""63"", ""1"", ""1""]",14.0,67.0,14.0,2.0,1.0,0.0,1.0,1.0,11.0,35
26,Switzerland,45.0,16.0,32,"[""16"", ""36"", ""0"", ""2""]",5.0,67.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,34
26,Bosnia and Herzegovina,60.0,18.0,33,"[""18"", ""34"", ""4"", ""4""]",13.0,43.0,13.0,5.0,2.0,0.0,3.0,5.0,3.0,35
27,Canada,21.0,1.0,33,"[""1"", ""16"", ""0"", ""2""]",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,35
27,Qatar,78.0,22.0,34,"[""22"", ""24"", ""6"", ""1""]",35.0,44.0,35.0,7.0,0.0,0.0,7.0,2.0,26.0,36
28,Mexico,48.0,18.0,32,"[""18"", ""31"", ""1"", ""3""]",9.0,100.0,9.0,2.0,1.0,0.0,1.0,0.0,7.0,34
28,Korea Republic,50.0,15.0,33,"[""15"", ""35"", ""0"", ""6""]",8.0,75.0,8.0,5.0,3.0,0.0,2.0,1.0,2.0,35
29,Brazil,44.0,8.0,32,"[""8"", ""29"", ""0"", ""5""]",7.0,100.0,7.0,3.0,0.0,0.0,3.0,0.0,4.0,34
29,Haiti,44.0,20.0,33,"[""20"", ""31"", ""1"", ""2""]",8.0,50.0,8.0,2.0,1.0,0.0,1.0,3.0,3.0,35
30,Scotland,52.0,7.0,32,"[""7"", ""28"", ""0"", ""7""]",12.0,50.0,12.0,1.0,0.0,0.0,1.0,4.0,7.0,34
30,Morocco,47.0,11.0,33,"[""11"", ""32"", ""5"", ""2""]",6.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,4.0,35
31,Türkiye,39.0,7.0,33,"[""7"", ""30"", ""0"", ""1""]",7.0,50.0,7.0,1.0,0.0,0.0,1.0,1.0,5.0,35
31,Paraguay,74.0,27.0,34,"[""27"", ""29"", ""6"", ""0""]",34.0,100.0,34.0,7.0,3.0,0.0,4.0,5.0,22.0,36
32,USA,33.0,14.0,32,"[""14"", ""24"", ""1"", ""3""]",5.0,100.0,5.0,2.0,2.0,0.0,0.0,0.0,3.0,34
32,Australia,33.0,11.0,33,"[""11"", ""14"", ""0"", ""4""]",11.0,50.0,11.0,1.0,1.0,0.0,0.0,3.0,7.0,35
33,Germany,34.0,8.0,32,"[""8"", ""19"", ""0"", ""5""]",9.0,50.0,9.0,1.0,1.0,0.0,0.0,1.0,7.0,34
33,Côte d'Ivoire,63.0,21.0,33,"[""21"", ""30"", ""7"", ""3""]",16.0,71.0,16.0,3.0,1.0,2.0,2.0,2.0,9.0,35
34,Ecuador,33.0,4.0,33,"[""4"", ""13"", ""2"", ""5""]",11.0,100.0,11.0,6.0,1.0,0.0,5.0,0.0,5.0,35
34,Curaçao,70.0,25.0,34,"[""25"", ""24"", ""6"", ""6""]",30.0,100.0,30.0,15.0,7.0,2.0,7.0,1.0,13.0,36
35,Netherlands,53.0,15.0,32,"[""15"", ""33"", ""2"", ""0""]",16.0,88.0,16.0,8.0,3.0,0.0,5.0,3.0,5.0,34
35,Sweden,50.0,13.0,33,"[""13"", ""33"", ""1"", ""3""]",10.0,29.0,10.0,2.0,2.0,0.0,0.0,4.0,4.0,35
36,Tunisia,38.0,15.0,32,"[""15"", ""22"", ""1"", ""0""]",11.0,25.0,11.0,2.0,0.0,0.0,2.0,4.0,5.0,34
36,Japan,28.0,4.0,33,"[""4"", ""19"", ""0"", ""3""]",3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,35
