match_no,team,gk_total_involvements,gk_line_breaks,gk_distribution_page_no,gk_distribution_values_json,gk_attempts_on_goal_faced,gk_save_pct,gk_attempts_faced_table,gk_total_goal_interventions,gk_save_retain,gk_deflect_retain,gk_save_deflect,gk_save_attempt,gk_no_save_attempt,gk_goal_prevention_page_no
83,Portugal,31.0,6.0,32,"[""6"", ""13"", ""1"", ""2""]",13.0,83.0,13.0,6.0,1.0,0.0,5.0,1.0,6.0,34
83,Croatia,53.0,4.0,33,"[""4"", ""27"", ""0"", ""6""]",15.0,33.0,15.0,1.0,0.0,0.0,1.0,3.0,11.0,35
84,Spain,44.0,9.0,33,"[""9"", ""33"", ""0"", ""4""]",5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,35
84,Austria,70.0,5.0,34,"[""5"", ""38"", ""1"", ""1""]",23.0,67.0,23.0,7.0,3.0,0.0,4.0,3.0,13.0,36
85,Switzerland,55.0,19.0,32,"[""19"", ""38"", ""0"", ""7""]",8.0,100.0,8.0,2.0,2.0,0.0,0.0,0.0,6.0,34
85,Algeria,48.0,11.0,33,"[""11"", ""33"", ""0"", ""3""]",11.0,50.0,11.0,4.0,2.0,0.0,2.0,1.0,6.0,35
86,Argentina,50.0,6.0,33,"[""6"", ""27"", ""1"", ""5""]",16.0,60.0,16.0,3.0,1.0,0.0,2.0,1.0,12.0,35
86,Cabo Verde,67.0,17.0,34,"[""17"", ""31"", ""2"", ""3""]",23.0,73.0,23.0,7.0,2.0,1.0,5.0,3.0,12.0,36
87,Colombia,49.0,4.0,33,"[""4"", ""32"", ""1"", ""5""]",8.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,7.0,35
87,Ghana,60.0,12.0,34,"[""12"", ""32"", ""4"", ""2""]",20.0,88.0,20.0,7.0,1.0,0.0,6.0,1.0,12.0,36
88,Australia,55.0,14.0,32,"[""14"", ""26"", ""2"", ""7""]",16.0,75.0,16.0,3.0,0.0,1.0,2.0,3.0,10.0,34
89,Paraguay,46.0,24.0,32,"[""24"", ""19"", ""4"", ""2""]",15.0,80.0,15.0,4.0,1.0,0.0,3.0,5.0,6.0,34
89,France,45.0,7.0,33,"[""7"", ""26"", ""2"", ""6""]",5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,35
90,Canada,30.0,10.0,32,"[""10"", ""23"", ""0"", ""2""]",5.0,25.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,34
90,Morocco,65.0,14.0,33,"[""14"", ""41"", ""0"", ""6""]",10.0,100.0,10.0,3.0,0.0,0.0,3.0,0.0,7.0,35
91,Brazil,31.0,4.0,32,"[""4"", ""15"", ""1"", ""5""]",9.0,60.0,9.0,3.0,1.0,0.0,2.0,3.0,3.0,34
91,Norway,66.0,26.0,33,"[""26"", ""39"", ""2"", ""3""]",15.0,75.0,15.0,4.0,0.0,0.0,4.0,2.0,9.0,35
92,Mexico,31.0,5.0,33,"[""5"", ""17"", ""0"", ""6""]",6.0,40.0,6.0,2.0,2.0,0.0,0.0,4.0,0.0,35
92,England,69.0,23.0,34,"[""23"", ""31"", ""3"", ""5""]",20.0,60.0,20.0,3.0,1.0,0.0,2.0,4.0,13.0,36
93,Portugal,58.0,10.0,32,"[""10"", ""27"", ""1"", ""6""]",15.0,83.0,15.0,5.0,2.0,0.0,3.0,2.0,8.0,34
93,Spain,55.0,18.0,33,"[""18"", ""31"", ""0"", ""9""]",10.0,100.0,10.0,3.0,2.0,0.0,1.0,3.0,4.0,35
94,USA,43.0,7.0,32,"[""7"", ""18"", ""0"", ""7""]",15.0,43.0,15.0,3.0,2.0,0.0,1.0,2.0,10.0,34
94,Belgium,50.0,19.0,33,"[""19"", ""37"", ""2"", ""1""]",7.0,50.0,7.0,1.0,0.0,0.0,1.0,2.0,4.0,35
95,Argentina,26.0,5.0,33,"[""5"", ""17"", ""2"", ""1""]",5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,35
95,Egypt,57.0,11.0,34,"[""11"", ""28"", ""0"", ""3""]",19.0,57.0,19.0,6.0,1.0,0.0,5.0,3.0,10.0,36
96,Switzerland,71.0,15.0,32,"[""15"", ""51"", ""0"", ""3""]",15.0,100.0,15.0,3.0,1.0,0.0,2.0,2.0,10.0,34
96,Colombia,58.0,20.0,33,"[""20"", ""46"", ""2"", ""1""]",7.0,100.0,7.0,2.0,1.0,0.0,1.0,3.0,2.0,35
97,France,27.0,2.0,33,"[""2"", ""18"", ""0"", ""3""]",5.0,100.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,35
97,Morocco,60.0,9.0,34,"[""9"", ""33"", ""1"", ""3""]",22.0,75.0,22.0,8.0,2.0,0.0,6.0,3.0,11.0,36
98,Spain,50.0,9.0,32,"[""9"", ""33"", ""0"", ""7""]",5.0,50.0,5.0,1.0,1.0,0.0,0.0,2.0,2.0,34
98,Belgium,66.0,23.0,33,"[""23"", ""41"", ""1"", ""4""]",17.0,75.0,17.0,6.0,1.0,0.0,5.0,4.0,7.0,35
100,Argentina,60.0,25.0,33,"[""25"", ""39"", ""4"", ""2""]",11.0,80.0,11.0,4.0,2.0,0.0,2.0,1.0,6.0,35
100,Switzerland,67.0,19.0,34,"[""19"", ""33"", ""4"", ""3""]",22.0,57.0,22.0,4.0,1.0,0.0,3.0,5.0,13.0,36
99,England,57.0,21.0,33,"[""21"", ""27"", ""1"", ""8""]",14.0,75.0,14.0,5.0,2.0,0.0,3.0,4.0,5.0,35
99,Norway,63.0,23.0,32,"[""23"", ""40"", ""3"", ""2""]",15.0,71.0,15.0,4.0,1.0,2.0,3.0,4.0,5.0,34
